Time Frame,Location Id,Location,Median Rent,Crime
1993/12/1,13,Canterbury,150,7760
1993/12/1,14,Otago,150,3915
1993/12/1,15,Southland,110,2732
1993/12/1,17,Nelson,160,2884
1994/1/1,1,Northland,128,2957.274283
1994/1/1,2,Auckland,190,8690.738269
1994/1/1,3,Waikato,130,6437.62399
1994/1/1,4,Bay of Plenty,150,4767.681667
1994/1/1,5,Gisborne,130,5527.827345
1994/1/1,7,Taranaki,130,3316.663031
1994/1/1,8,Manawatu-Whanganui,145,3807.136669
1994/1/1,9,Wellington,175,4066.588598
1994/1/1,12,West Coast,80,2893.755472
1994/1/1,13,Canterbury,150,7760.627027
1994/1/1,14,Otago,180,3924.728915
1994/1/1,15,Southland,100,2749.121663
1994/1/1,17,Nelson,155,2893.755472
1994/2/1,1,Northland,130,2981.464326
1994/2/1,2,Auckland,190,8759.29322
1994/2/1,3,Waikato,125,6405.802733
1994/2/1,4,Bay of Plenty,140,4782.267936
1994/2/1,5,Gisborne,125,5517.73924
1994/2/1,7,Taranaki,125,3328.392718
1994/2/1,8,Manawatu-Whanganui,145,3796.223527
1994/2/1,9,Wellington,170,4062.678822
1994/2/1,12,West Coast,123,2902.105452
1994/2/1,13,Canterbury,160,7761.156782
1994/2/1,14,Otago,150,3933.04113
1994/2/1,15,Southland,105,2762.696881
1994/2/1,17,Nelson,155,2902.105452
1994/3/1,1,Northland,125,3002.344074
1994/3/1,2,Auckland,190,8828.327307
1994/3/1,3,Waikato,130,6366.544859
1994/3/1,4,Bay of Plenty,145,4792.754791
1994/3/1,5,Gisborne,140,5504.901555
1994/3/1,7,Taranaki,130,3342.878352
1994/3/1,8,Manawatu-Whanganui,130,3785.536243
1994/3/1,9,Wellington,170,4059.540354
1994/3/1,12,West Coast,120,2909.225834
1994/3/1,13,Canterbury,150,7761.347883
1994/3/1,14,Otago,140,3939.962805
1994/3/1,15,Southland,110,2773.137495
1994/3/1,17,Nelson,155,2909.225834
1994/4/1,1,Northland,130,3020.687477
1994/4/1,2,Auckland,200,8897.002984
1994/4/1,3,Waikato,133,6321.858995
1994/4/1,4,Bay of Plenty,150,4799.138213
1994/4/1,5,Gisborne,140,5489.480162
1994/4/1,7,Taranaki,130,3359.809227
1994/4/1,8,Manawatu-Whanganui,135,3775.350489
1994/4/1,9,Wellington,170,4056.942871
1994/4/1,12,West Coast,93,2915.292513
